# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous)	moments(pressure viscous)
3.3             	((5.92137861e+00 -7.99525220e-07 3.08130497e-20) (7.48469725e-01 -2.31739195e-08 -5.31911370e-22)) ((1.26966528e-18 -3.15115971e-20 1.92044297e-13) (-8.06477986e-19 6.27025903e-22 4.04862322e-09))
3.35            	((5.89805678e+00 -7.74513849e-07 3.04557482e-20) (7.45761751e-01 -2.43172074e-08 -5.28549364e-22)) ((1.26631245e-18 -3.14298363e-20 1.80939465e-13) (-8.09190225e-19 6.25535598e-22 3.13180001e-09))
3.4             	((5.87840668e+00 -7.40587010e-07 3.01614083e-20) (7.43153208e-01 -2.47031871e-08 -5.25175740e-22)) ((1.26318242e-18 -3.13675089e-20 1.64473036e-13) (-8.11929181e-19 6.23917772e-22 2.73586775e-09))
3.45            	((5.85613846e+00 -7.16630228e-07 2.98088614e-20) (7.40623200e-01 -2.46111596e-08 -5.21732038e-22)) ((1.26020246e-18 -3.12965739e-20 1.54414675e-13) (-8.14689440e-19 6.22128812e-22 2.69544614e-09))
3.5             	((5.83372011e+00 -7.42051911e-07 2.94641976e-20) (7.38162474e-01 -2.45175403e-08 -5.18238206e-22)) ((1.25700334e-18 -3.12251025e-20 1.44443485e-13) (-8.17362043e-19 6.20205433e-22 2.82269163e-09))
3.55            	((5.81562797e+00 -6.96427080e-07 2.91907751e-20) (7.35794829e-01 -2.48249471e-08 -5.14686515e-22)) ((1.25409532e-18 -3.11744034e-20 1.44258303e-13) (-8.20039624e-19 6.18158762e-22 2.49191756e-09))
3.6             	((5.79493484e+00 -5.99671341e-07 2.88887848e-20) (7.33498083e-01 -2.54986212e-08 -5.10993574e-22)) ((1.25099420e-18 -3.11059569e-20 1.54732130e-13) (-8.22678831e-19 6.15923151e-22 1.48808150e-09))
3.65            	((5.77609525e+00 -6.67842027e-07 2.85826278e-20) (7.31270544e-01 -2.75238473e-08 -5.07352794e-22)) ((1.24826851e-18 -3.10512654e-20 1.69956063e-13) (-8.25327087e-19 6.13703020e-22 -3.47757635e-10))
3.7             	((5.75866068e+00 -6.49406349e-07 2.82802521e-20) (7.29117316e-01 -3.05773216e-08 -5.03726413e-22)) ((1.24571186e-18 -3.10052926e-20 1.87089493e-13) (-8.27914925e-19 6.11460097e-22 -2.66380308e-09))
3.75            	((5.74318826e+00 -6.30811536e-07 2.80226445e-20) (7.27050693e-01 -3.44797172e-08 -5.00130710e-22)) ((1.24320602e-18 -3.09696410e-20 2.19261675e-13) (-8.30462383e-19 6.09196897e-22 -5.80070805e-09))
3.8             	((5.72691079e+00 -6.20442193e-07 2.77562590e-20) (7.25061063e-01 -3.85738631e-08 -4.96579753e-22)) ((1.24062879e-18 -3.09311578e-20 2.40221471e-13) (-8.32944093e-19 6.06901228e-22 -9.04706180e-09))
3.85            	((5.71108242e+00 -6.30119867e-07 2.74894930e-20) (7.23165455e-01 -4.30321795e-08 -4.93069996e-22)) ((1.23801946e-18 -3.08955886e-20 2.77271262e-13) (-8.35447121e-19 6.04541379e-22 -1.24220257e-08))
3.9             	((5.69549696e+00 -6.15635492e-07 2.72275541e-20) (7.21357171e-01 -4.65496899e-08 -4.89631567e-22)) ((1.23539671e-18 -3.08636602e-20 2.84760496e-13) (-8.37887484e-19 6.02186767e-22 -1.49351917e-08))
3.95            	((5.68083635e+00 -6.07607215e-07 2.69793542e-20) (7.19628600e-01 -4.90084808e-08 -4.86185959e-22)) ((1.23277950e-18 -3.08382888e-20 2.94247265e-13) (-8.40237003e-19 5.99777950e-22 -1.63194016e-08))
4               	((5.66602165e+00 -5.85122079e-07 2.67328358e-20) (7.17965451e-01 -5.01057701e-08 -4.82645401e-22)) ((1.23023462e-18 -3.08149838e-20 2.94824278e-13) (-8.42390932e-19 5.97297595e-22 -1.64477309e-08))
4.05            	((5.65109164e+00 -5.79721983e-07 2.64881521e-20) (7.16353589e-01 -5.01282078e-08 -4.78987993e-22)) ((1.22761748e-18 -3.07927253e-20 2.91567118e-13) (-8.44321341e-19 5.94739448e-22 -1.58088061e-08))
4.1             	((5.63474359e+00 -4.09671820e-06 2.62232803e-20) (7.14779641e-01 -6.64545073e-08 -4.75159357e-22)) ((1.22497817e-18 -3.07649430e-20 4.98692233e-13) (-8.46065022e-19 5.92110365e-22 -1.70922787e-08))
4.15            	((5.62135263e+00 2.91458389e-06 2.60322256e-20) (7.13258376e-01 -4.47458302e-08 -4.71320597e-22)) ((1.22231393e-18 -3.07506600e-20 1.36738277e-13) (-8.47699654e-19 5.89386889e-22 -1.43279217e-08))
4.2             	((5.60650026e+00 -5.01529002e-06 2.58124493e-20) (7.11768983e-01 -6.01847775e-08 -4.67401601e-22)) ((1.21960159e-18 -3.07298032e-20 5.36836200e-13) (-8.49391219e-19 5.86639080e-22 -1.66140946e-08))
4.25            	((5.59015552e+00 -4.79961719e-07 2.55810710e-20) (7.10299494e-01 -5.59555740e-08 -4.63456137e-22)) ((1.21679105e-18 -3.07018355e-20 3.67772653e-13) (-8.51152680e-19 5.83816476e-22 -1.63557119e-08))
4.3             	((5.57564154e+00 -1.45519497e-06 2.53784924e-20) (7.08858495e-01 -5.25582060e-08 -4.59567072e-22)) ((1.21402263e-18 -3.06828974e-20 4.06142351e-13) (-8.52722098e-19 5.80991986e-22 -1.73346565e-08))
4.35            	((5.55936050e+00 -1.29279445e-06 2.51417898e-20) (7.07429444e-01 -4.91134961e-08 -4.55725760e-22)) ((1.21127131e-18 -3.06571771e-20 4.18423434e-13) (-8.54181833e-19 5.78137669e-22 -1.78468118e-08))
4.4             	((5.54471263e+00 -1.48244949e-06 2.49363885e-20) (7.06018474e-01 -4.64736687e-08 -4.51928481e-22)) ((1.20856258e-18 -3.06389709e-20 4.24370825e-13) (-8.55650339e-19 5.75271121e-22 -1.70026442e-08))
4.45            	((5.52996076e+00 -1.31005813e-06 2.47337222e-20) (7.04620195e-01 -4.38200800e-08 -4.48146755e-22)) ((1.20582546e-18 -3.06194610e-20 4.20198381e-13) (-8.57159201e-19 5.72366497e-22 -1.56765947e-08))
4.5             	((5.51639593e+00 -1.23780993e-06 2.45277859e-20) (7.03238378e-01 -4.13302260e-08 -4.44422077e-22)) ((1.20328525e-18 -3.06084838e-20 4.20632387e-13) (-8.58677704e-19 5.69475302e-22 -1.43178443e-08))
4.55            	((5.50378431e+00 -1.31342589e-06 2.43498316e-20) (7.01881626e-01 -3.94872204e-08 -4.40703514e-22)) ((1.20071422e-18 -3.06013262e-20 4.12238386e-13) (-8.60215345e-19 5.66551858e-22 -1.29027853e-08))
4.6             	((5.49192783e+00 -1.14309966e-06 2.41752164e-20) (7.00556752e-01 -3.69818668e-08 -4.36993710e-22)) ((1.19825843e-18 -3.05992759e-20 3.99025024e-13) (-8.61847508e-19 5.63598512e-22 -1.12609268e-08))
4.65            	((5.48044001e+00 -1.08674656e-06 2.39968990e-20) (6.99264807e-01 -3.42115208e-08 -4.33272478e-22)) ((1.19587642e-18 -3.06001198e-20 3.93134567e-13) (-8.63484891e-19 5.60601495e-22 -9.56846382e-09))
