# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous)	moments(pressure viscous)
4.05            	((1.12016474e+00 -1.36721557e-07 8.14942741e-21) (2.60679567e-01 2.12656520e-09 -1.31175853e-22)) ((2.01181019e-19 -6.14233862e-21 1.27662637e-14) (-1.02552598e-19 1.59029171e-22 1.22772325e-10))
4.1             	((1.11753448e+00 -1.28570312e-07 8.10516576e-21) (2.60074054e-01 1.70063806e-09 -1.30209363e-22)) ((2.00856319e-19 -6.13534053e-21 1.71939286e-14) (-1.02259779e-19 1.58689804e-22 1.64707359e-10))
4.15            	((1.11507002e+00 -1.32556025e-07 8.06215725e-21) (2.59475099e-01 1.40154657e-09 -1.29367676e-22)) ((2.00556514e-19 -6.13020889e-21 1.49842161e-14) (-1.02019040e-19 1.58351038e-22 1.55051543e-10))
4.2             	((1.11260953e+00 -1.43144593e-07 8.01981195e-21) (2.58884528e-01 1.08478257e-09 -1.28617718e-22)) ((2.00268682e-19 -6.12409668e-21 1.43990722e-14) (-1.01834956e-19 1.57955163e-22 1.41921457e-10))
4.25            	((1.11036685e+00 -1.44456330e-07 7.97872670e-21) (2.58303319e-01 7.58045309e-10 -1.27970368e-22)) ((2.00017250e-19 -6.11973204e-21 1.50269337e-14) (-1.01671779e-19 1.57548386e-22 1.35944847e-10))
4.3             	((1.10819379e+00 -1.52987807e-07 7.93773633e-21) (2.57731496e-01 4.05474375e-10 -1.27378202e-22)) ((1.99785338e-19 -6.11610053e-21 1.51764452e-14) (-1.01516962e-19 1.57119260e-22 1.27344649e-10))
4.35            	((1.10557513e+00 -1.48046702e-07 7.89803263e-21) (2.57165929e-01 8.95188090e-11 -1.26789446e-22)) ((1.99436359e-19 -6.10825972e-21 1.52920211e-14) (-1.01372020e-19 1.56643924e-22 1.29256999e-10))
4.4             	((1.10330785e+00 -1.22286393e-07 7.86002339e-21) (2.56607304e-01 6.75234226e-11 -1.26224247e-22)) ((1.99156939e-19 -6.10282926e-21 1.50991416e-14) (-1.01240637e-19 1.56160579e-22 2.04223614e-10))
4.45            	((1.10097303e+00 -1.10051941e-07 7.82176139e-21) (2.56054114e-01 1.52127764e-10 -1.25668083e-22)) ((1.98885471e-19 -6.09751041e-21 1.53337629e-14) (-1.01163183e-19 1.55665800e-22 2.92651649e-10))
4.5             	((1.09843197e+00 -1.65278171e-07 7.78285840e-21) (2.55504093e-01 -1.74883082e-10 -1.25125054e-22)) ((1.98563665e-19 -6.09208072e-21 1.60039083e-14) (-1.01104752e-19 1.55170788e-22 3.61235371e-10))
4.55            	((1.09555363e+00 -1.62421277e-07 7.74029379e-21) (2.54954337e-01 -5.92448061e-10 -1.24541771e-22)) ((1.98244359e-19 -6.08371273e-21 1.55302203e-14) (-1.01049273e-19 1.54626934e-22 4.21584340e-10))
4.6             	((1.09253070e+00 -1.43013220e-07 7.70042402e-21) (2.54403491e-01 -8.56311777e-10 -1.23935421e-22)) ((1.97865241e-19 -6.07285304e-21 1.55103794e-14) (-1.01005107e-19 1.54052998e-22 4.77876173e-10))
4.65            	((1.08999766e+00 -1.19837838e-07 7.66277859e-21) (2.53855436e-01 -8.82680646e-10 -1.23365925e-22)) ((1.97561215e-19 -6.06599123e-21 1.55249077e-14) (-1.00958755e-19 1.53509698e-22 5.26514245e-10))
4.7             	((1.08767013e+00 -1.50578721e-07 7.62796277e-21) (2.53313158e-01 -1.05522578e-09 -1.22779535e-22)) ((1.97261271e-19 -6.05957963e-21 1.61983057e-14) (-1.00913163e-19 1.52945588e-22 5.57297090e-10))
4.75            	((1.08483057e+00 -1.40609710e-07 7.58800010e-21) (2.52773488e-01 -1.17516651e-09 -1.22179659e-22)) ((1.96937447e-19 -6.05014045e-21 1.57023374e-14) (-1.00872895e-19 1.52364312e-22 5.82536243e-10))
4.8             	((1.08254670e+00 -1.58084633e-07 7.55190755e-21) (2.52239515e-01 -1.45989422e-09 -1.21614343e-22)) ((1.96668448e-19 -6.04483889e-21 1.57915131e-14) (-1.00810203e-19 1.51815813e-22 6.14246376e-10))
4.85            	((1.08011788e+00 -1.57727106e-07 7.51513269e-21) (2.51711257e-01 -1.79528974e-09 -1.21021054e-22)) ((1.96383327e-19 -6.03818505e-21 1.60493905e-14) (-1.00732945e-19 1.51236958e-22 6.40669918e-10))
4.9             	((1.07736495e+00 -1.53370685e-07 7.47828537e-21) (2.51185622e-01 -2.03942055e-09 -1.20404589e-22)) ((1.96057479e-19 -6.02851363e-21 1.60830550e-14) (-1.00659853e-19 1.50632611e-22 6.64319273e-10))
4.95            	((1.07487287e+00 -1.42869931e-07 7.44208549e-21) (2.50663356e-01 -2.16845364e-09 -1.19807994e-22)) ((1.95767161e-19 -6.02070284e-21 1.61181832e-14) (-1.00578467e-19 1.50045150e-22 6.91482996e-10))
5               	((1.07239890e+00 -1.46796410e-07 7.40623910e-21) (2.50144675e-01 -2.30947193e-09 -1.19216456e-22)) ((1.95479021e-19 -6.01292676e-21 1.70041390e-14) (-1.00498737e-19 1.49459664e-22 7.15565173e-10))
5.05            	((1.07005152e+00 -1.48669141e-07 7.37024243e-21) (2.49631363e-01 -2.46262489e-09 -1.18631109e-22)) ((1.95222096e-19 -6.00557301e-21 1.56023740e-14) (-1.00503153e-19 1.48876317e-22 7.21378794e-10))
